"CheckoutMonth","genre1","total"
1,"Fantasy",8600
1,"Literature",8173
1,"Mystery",6864
1,"Historical Fiction",6798
1,"Biography & Autobiography",5764
1,"Juvenile Fiction",4607
1,"Romance",3689
1,"History",2987
1,"Humor (Fiction)",2850
1,"Business",2656
2,"Fantasy",8509
2,"Literature",7923
2,"Mystery",6919
2,"Historical Fiction",6770
2,"Biography & Autobiography",5735
2,"Juvenile Fiction",4859
2,"Romance",3573
2,"History",2917
2,"Humor (Fiction)",2875
2,"Business",2598
3,"Fantasy",9174
3,"Literature",8222
3,"Historical Fiction",7284
3,"Mystery",7214
3,"Juvenile Fiction",6934
3,"Biography & Autobiography",6134
3,"Romance",3743
3,"Humor (Fiction)",3469
3,"History",3043
3,"Business",2557
4,"Fantasy",9386
4,"Literature",8758
4,"Juvenile Fiction",7826
4,"Mystery",7599
4,"Historical Fiction",7319
4,"Biography & Autobiography",6458
4,"Romance",3987
4,"Humor (Fiction)",3894
4,"History",3100
4,"Business",2693
5,"Fantasy",9613
5,"Literature",9096
5,"Juvenile Fiction",7904
5,"Mystery",7630
5,"Historical Fiction",7618
5,"Biography & Autobiography",6583
5,"Romance",4087
5,"Humor (Fiction)",3847
5,"History",3304
5,"Business",2698
6,"Fantasy",9348
6,"Literature",8716
6,"Juvenile Fiction",7752
6,"Mystery",7391
6,"Historical Fiction",7385
6,"Biography & Autobiography",6509
6,"Romance",3910
6,"Humor (Fiction)",3831
6,"History",3342
6,"Business",2606
7,"Fantasy",9633
7,"Literature",9196
7,"Juvenile Fiction",7603
7,"Historical Fiction",7493
7,"Mystery",7466
7,"Biography & Autobiography",6778
7,"Romance",4078
7,"Humor (Fiction)",3927
7,"History",3414
7,"Business",2729
8,"Fantasy",9577
8,"Literature",9145
8,"Mystery",7510
8,"Historical Fiction",7480
8,"Juvenile Fiction",7276
8,"Biography & Autobiography",6776
8,"Romance",3956
8,"Humor (Fiction)",3838
8,"History",3360
8,"Business",2665
9,"Fantasy",9539
9,"Literature",8761
9,"Mystery",7467
9,"Juvenile Fiction",7456
9,"Historical Fiction",7287
9,"Biography & Autobiography",6653
9,"Romance",3890
9,"Humor (Fiction)",3830
9,"History",3360
9,"Business",2678
10,"Fantasy",9511
10,"Literature",8625
10,"Mystery",7442
10,"Historical Fiction",7158
10,"Juvenile Fiction",7157
10,"Biography & Autobiography",6615
10,"Romance",3790
10,"Humor (Fiction)",3760
10,"History",3299
10,"Business",2632
11,"Fantasy",9382
11,"Literature",8645
11,"Mystery",7304
11,"Historical Fiction",7211
11,"Juvenile Fiction",7150
11,"Biography & Autobiography",6624
11,"Humor (Fiction)",3730
11,"Romance",3688
11,"History",3417
11,"Business",2627
12,"Fantasy",9251
12,"Literature",8718
12,"Historical Fiction",7290
12,"Mystery",7251
12,"Juvenile Fiction",7139
12,"Biography & Autobiography",6687
12,"Romance",3871
12,"Humor (Fiction)",3682
12,"History",3406
12,"Business",2805
